"NAME","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19","2019/20","2020/21","2021/22","2022/23"
"Isle of Anglesey",425.9,609.5,453.5,458.2,387.3,499.2,501.6,109,223.6,354
"Gwynedd",418.7,536.4,451.4,487.3,447.4,607.7,505.6,95.2,240.4,353.8
"Conwy",580,619,557.4,526.7,549.2,591.2,488.8,66.6,187.7,360.3
"Denbighshire",611,597.4,597.4,532.8,604.9,559.4,436.6,62.9,165.2,312.2
"Flintshire",581,600.2,494.6,514.9,500,452,421.3,80.9,180.9,315.9
"Wrexham",485.7,446.3,476.2,473.8,482.6,436.8,407,63.3,195.1,257.3
"Ceredigion",585.5,599.6,667.6,621.5,528.5,594.8,550,62.4,186.2,276.8
"Pembrokeshire",942.4,890.1,970.7,976.8,967.3,911.6,798.8,40.5,190.3,359.1
"Carmarthenshire",763.7,764.2,729.4,673.8,531.9,621.3,405.6,26.1,95.7,168.6
"Swansea",511.1,438.8,482.6,499.8,424.9,450,413.1,50.2,144.9,187.2
"Neath Port Talbot",550.5,465,491.6,527.8,556.9,609.1,587.8,91.6,291.3,313
"Bridgend",587.8,508.6,425.6,449.9,485.4,594.9,596.5,86.3,342.3,389.6
"Vale of Glamorgan",525.3,515,457.3,482.4,482.7,416,403.8,62.8,206.5,256.7
"Cardiff",487.9,441.1,405.2,397.6,426.9,416,351.3,51.3,159.8,206.9
"Rhondda Cynon Taf",595.7,394.8,352.6,297,352.1,366.2,247.1,33.9,60.6,141.2
"Caerphilly",495.4,447.6,508.8,393.3,378.4,559.3,484.1,36.9,226.7,339.6
"Blaenau Gwent",599.1,507.7,552.7,534,469.5,534.3,535.3,34.8,283.3,402.8
"Torfaen",477.6,442.2,490.5,473.7,374.2,575.6,529.5,37.2,255.1,396.4
"Monmouthshire",520.1,475.3,520.5,513.1,438.2,539.4,481,50.6,227.7,334.8
"Newport",401.6,408.6,460.4,354,332.8,534.4,460.6,29.3,204.4,337.3
"Powys",746.1,738.9,706.8,698.9,624.7,731.2,682.1,142.4,390.3,511.5
"Merthyr Tydfil",615.3,408.4,443.7,281.7,308.6,324.2,215.1,38.8,95.1,113
